date,impressions,clicks,source
01.01.2019,211,15.2,all_verticals
01.02.2019,188,15.1,all_verticals
01.03.2019,210,18.2,all_verticals
01.04.2019,215,18.9,all_verticals
01.05.2019,222,21,all_verticals
01.06.2019,211,20.4,all_verticals
01.07.2019,211,20.6,all_verticals
01.08.2019,208,18.6,all_verticals
01.09.2019,183,16.4,all_verticals
01.10.2019,199,16.7,all_verticals
01.11.2019,185,16.7,all_verticals
01.12.2019,191,18,all_verticals
01.01.2020,205,19.7,all_verticals
01.02.2020,216,19.2,all_verticals
01.03.2020,170,15.7,all_verticals
01.04.2020,159,13.6,all_verticals
01.05.2020,204,17.9,all_verticals
01.06.2020,219,20,all_verticals
01.07.2020,213,17.4,all_verticals
01.08.2020,215,16.6,all_verticals
01.09.2020,212,16.3,all_verticals
01.10.2020,207,15.5,all_verticals
01.11.2020,185,14.2,all_verticals
01.12.2020,171,15.5,all_verticals
01.01.2021,182,15.7,all_verticals
01.02.2021,177,15.7,all_verticals
01.03.2021,227,21,all_verticals
01.04.2021,218,19.8,all_verticals
01.05.2021,230,22.2,all_verticals
01.06.2021,236,23,all_verticals
01.07.2021,257,22.8,all_verticals
01.08.2021,237,20,all_verticals
01.09.2021,226,18.2,all_verticals
01.10.2021,226,19.8,all_verticals