Month of Date1,Year of Date1,Avg. Google Driving Directions Per Loc
January,2019,22.94296182
February,2019,21.17578577
March,2019,21.40099833
April,2019,22.22950194
May,2019,24.58168098
June,2019,25.25114968
July,2019,22.87221887
August,2019,23.69645155
September,2019,23.98793933
October,2019,26.3050765
November,2019,21.61983423
December,2019,19.42932767
January,2020,26.41100415
February,2020,24.51077812
March,2020,12.51360218
April,2020,4.505000506
May,2020,6.563236974
June,2020,9.084839073
July,2020,8.922246654
August,2020,9.9565696
September,2020,10.19017734
October,2020,11.44459164
November,2020,11.19965394
December,2020,11.61312835
January,2021,14.4320428
February,2021,13.67610101
March,2021,15.90545359
April,2021,16.34978743
May,2021,17.53667723
June,2021,18.877004
July,2021,19.74882934
August,2021,20.15894568