Year of Date1,Month of Date1,% Difference in Avg. Google Maps Views Per Loc,Avg. Google Search Views Per Loc
2020,December,-49.24%,1051.231592
2020,November,-46.92%,1137.504977
2020,October,-43.04%,1240.834374
2020,September,-21.03%,1141.699738
2020,August,-28.03%,1127.096018
2020,July,-22.28%,1116.22301
2020,June,-0.08%,1064.740704
2020,May,-26.90%,832.3649664
2020,April,-26.50%,777.6565175
2020,March,19.42%,962.7618312
2020,February,56.75%,1028.683117
2020,January,62.07%,1081.996737
2021,August,51.24%,1510.070192
2021,July,34.94%,1435.838708
2021,June,52.71%,1370.710093
2021,May,105.89%,1208.02637
2021,April,159.29%,1203.286443
2021,March,15.88%,1370.665817
2021,February,-41.39%,1207.829744
2021,January,-47.81%,1263.881895