Month of Date1,Year of Date1,Avg. Google Maps Views Per Loc,Avg. Google Search Views Per Loc
January,2021,1241.300706,1263.881895
February,2021,1238.726507,1207.829744
March,2021,1437.48777,1370.665817
April,2021,1446.264295,1203.286443
May,2021,1467.620268,1208.02637
June,2021,1617.752164,1370.710093
July,2021,1609.213461,1435.838708
August,2021,1729.269816,1510.070192
January,2020,2378.409571,1081.996737
February,2020,2113.362447,1028.683117
March,2020,1240.461625,962.7618312
April,2020,557.777148,777.6565175
May,2020,712.817387,832.3649664
June,2020,1059.373609,1064.740704
July,2020,1192.528085,1116.22301
August,2020,1143.374606,1127.096018
September,2020,1263.48092,1141.699738
October,2020,1245.391356,1240.834374
November,2020,1068.139808,1137.504977
December,2020,1036.007425,1051.231592
January,2019,1467.519543,946.1219255
February,2019,1348.232067,871.256447
March,2019,1038.703442,919.1886118
April,2019,758.9104135,986.9336721
May,2019,975.0696559,1008.125072
June,2019,1060.190236,939.0510178
July,2019,1534.461978,1007.629224
August,2019,1588.629379,1011.801217
September,2019,1600.02656,952.3811639
October,2019,2186.443509,1014.490996
November,2019,2012.403355,859.8780706
December,2019,2041.001821,796.2272944