Year of Date1,Month of Date1,Avg. Google Maps Views Per Loc,% Difference in Avg. Google Search Views Per Loc
2020,December,1036.007425,32.03%
2020,November,1068.139808,32.29%
2020,October,1245.391356,22.31%
2020,September,1263.48092,19.88%
2020,August,1143.374606,11.40%
2020,July,1192.528085,10.78%
2020,June,1059.373609,13.38%
2020,May,712.817387,-17.43%
2020,April,557.777148,-21.20%
2020,March,1240.461625,4.74%
2020,February,2113.362447,18.07%
2020,January,2378.409571,14.36%
2021,August,1729.269816,33.98%
2021,July,1609.213461,28.63%
2021,June,1617.752164,28.74%
2021,May,1467.620268,45.13%
2021,April,1446.264295,54.73%
2021,March,1437.48777,42.37%
2021,February,1238.726507,17.42%
2021,January,1241.300706,16.81%