Month of Date1,Year of Date1,Avg. Google Phone Calls Per Loc,Avg. Google Website Clicks Per Loc
January,2021,25.22374031,36.70445857
February,2021,23.80789,34.87715935
March,2021,29.26352158,39.65722789
April,2021,27.26792835,37.0416269
May,2021,25.89041615,34.52891021
June,2021,29.91978124,38.70629255
July,2021,30.07071922,39.11192954
August,2021,31.14444425,38.06540189
January,2020,31.95237871,42.19999978
February,2020,28.31769684,38.28651044
March,2020,26.85461274,32.94901562
April,2020,18.93105544,27.07551608
May,2020,21.17978805,27.7594346
June,2020,28.87518566,35.63827477
July,2020,30.01590159,34.61554578
August,2020,29.31899149,34.62252713
September,2020,30.20016205,35.43659342
October,2020,29.07839249,36.27824887
November,2020,25.29287444,31.62761787
December,2020,23.66080819,30.47756768
January,2019,24.12792209,32.06013646
February,2019,23.09552963,28.91213148
March,2019,25.25404359,31.44877408
April,2019,26.47214726,31.24531834
May,2019,28.13543022,32.36044212
June,2019,26.58282354,33.16926125
July,2019,29.00467515,34.77089634
August,2019,30.77574123,35.44792922
September,2019,29.0468789,34.47530468
October,2019,30.51973879,36.3831396
November,2019,26.41558054,30.95524764
December,2019,26.43604479,29.49691441